,age,job,marital,loan,day,duration,pdays,previous,poutcome,y
235,48,technician,divorced,no,27,145,-1,0,unknown,no
236,33,blue-collar,married,no,2,124,308,2,other,no
237,57,technician,married,no,5,216,-1,0,unknown,no
238,57,housemaid,married,no,6,69,-1,0,unknown,no
239,51,unemployed,married,no,22,168,-1,0,unknown,no
240,34,admin.,single,no,22,483,-1,0,unknown,no
241,50,self-employed,married,no,19,690,-1,0,unknown,no
242,44,management,married,no,28,125,-1,0,unknown,no
243,27,admin.,married,yes,4,344,-1,0,unknown,no
244,50,blue-collar,married,no,14,673,-1,0,unknown,no
245,36,management,married,no,28,60,250,1,other,no
246,42,management,married,no,12,247,-1,0,unknown,no
247,32,unemployed,single,no,27,123,-1,0,unknown,no
248,42,management,married,no,11,144,-1,0,unknown,no
249,43,technician,married,yes,8,9,172,5,failure,no
250,31,management,married,no,9,155,-1,0,unknown,no
251,32,management,married,no,14,134,-1,0,unknown,no
252,55,blue-collar,divorced,yes,11,221,-1,0,unknown,no
253,58,retired,married,no,3,84,265,2,failure,no
254,46,blue-collar,married,no,8,71,-1,0,unknown,no
255,55,blue-collar,married,yes,23,246,-1,0,unknown,no
256,34,management,married,yes,23,361,-1,0,unknown,no
257,28,unemployed,single,no,12,119,-1,0,unknown,no
258,42,technician,divorced,no,29,375,-1,0,unknown,no
259,29,blue-collar,single,yes,10,1097,-1,0,unknown,yes
260,54,housemaid,married,yes,25,97,-1,0,unknown,no
261,32,technician,single,no,26,181,-1,0,unknown,no
262,39,technician,single,no,2,83,-1,0,unknown,no
263,53,entrepreneur,married,yes,21,180,-1,0,unknown,no
264,58,technician,married,no,18,543,78,2,failure,no
265,40,self-employed,married,yes,23,373,-1,0,unknown,no
266,29,student,single,no,7,230,-1,0,unknown,no
267,33,technician,married,yes,15,83,-1,0,unknown,no
268,38,admin.,single,no,31,58,-1,0,unknown,no
269,56,services,divorced,no,29,88,-1,0,unknown,no
270,40,services,married,no,2,297,28,3,failure,no
271,24,blue-collar,single,yes,18,487,-1,0,unknown,yes
272,46,management,married,no,20,29,-1,0,unknown,no
273,35,self-employed,married,no,21,484,-1,0,unknown,no
274,35,blue-collar,single,no,21,262,-1,0,unknown,no
275,34,technician,married,no,15,644,-1,0,unknown,no
276,35,housemaid,married,no,12,699,79,1,failure,no
277,38,technician,single,no,28,247,-1,0,unknown,no
278,50,blue-collar,married,no,18,49,-1,0,unknown,no
279,51,blue-collar,divorced,no,13,341,-1,0,unknown,no
280,59,self-employed,married,no,13,64,-1,0,unknown,no
281,32,blue-collar,married,no,20,121,-1,0,unknown,no
282,37,blue-collar,single,no,2,98,-1,0,unknown,no
283,42,admin.,divorced,no,16,88,-1,0,unknown,no
284,40,student,married,no,20,197,-1,0,unknown,no
285,28,technician,single,no,9,331,-1,0,unknown,no
286,47,admin.,married,no,6,83,-1,0,unknown,no
287,27,self-employed,married,no,26,138,-1,0,unknown,no
288,41,management,married,no,17,312,-1,0,unknown,no
289,34,admin.,married,yes,4,120,1,6,success,yes
290,50,blue-collar,married,no,7,526,-1,0,unknown,yes
291,47,blue-collar,married,no,28,211,-1,0,unknown,no
292,53,services,married,no,18,62,-1,0,unknown,no
293,53,technician,divorced,yes,15,135,-1,0,unknown,no
294,47,management,married,no,14,101,-1,0,unknown,no
295,49,entrepreneur,divorced,no,30,988,-1,0,unknown,yes
296,29,management,married,no,28,451,-1,0,unknown,no
297,45,blue-collar,divorced,no,23,1030,-1,0,unknown,yes
298,38,entrepreneur,married,yes,24,1484,-1,0,unknown,yes
299,32,blue-collar,married,no,9,317,-1,0,unknown,yes
300,70,retired,divorced,no,18,445,-1,0,unknown,no
301,65,retired,divorced,no,1,383,188,5,failure,no
302,56,blue-collar,married,no,22,605,-1,0,unknown,no
303,35,blue-collar,married,no,14,330,-1,0,unknown,no
304,56,management,married,yes,25,171,-1,0,unknown,no
305,56,technician,married,yes,23,442,-1,0,unknown,no
306,49,entrepreneur,married,no,17,772,-1,0,unknown,yes
307,38,unemployed,married,yes,8,249,-1,0,unknown,no
308,35,management,married,no,9,357,-1,0,unknown,no
309,38,admin.,married,no,18,147,-1,0,unknown,no
310,49,blue-collar,married,yes,6,199,167,1,failure,no
311,55,management,married,no,28,271,-1,0,unknown,no
312,43,blue-collar,single,no,30,783,-1,0,unknown,no
313,43,management,married,yes,20,472,-1,0,unknown,no
314,25,admin.,single,no,27,223,89,2,failure,yes
315,30,blue-collar,married,no,21,395,-1,0,unknown,no
316,46,blue-collar,married,no,4,56,-1,0,unknown,no
317,50,admin.,married,yes,17,641,-1,0,unknown,no
318,35,entrepreneur,married,no,4,429,164,2,failure,yes
319,26,unemployed,single,no,31,113,-1,0,unknown,no
320,45,admin.,married,no,20,11,-1,0,unknown,no
321,37,blue-collar,married,no,2,157,-1,0,unknown,no
322,60,self-employed,single,yes,29,79,-1,0,unknown,no
323,38,management,married,no,4,178,1,1,success,yes
324,47,blue-collar,married,yes,9,168,-1,0,unknown,no
325,33,technician,married,no,9,425,462,1,failure,no
326,51,unemployed,married,yes,19,162,-1,0,unknown,no
327,35,entrepreneur,single,no,18,799,-1,0,unknown,yes
328,35,unemployed,married,no,29,1370,209,3,success,yes
329,48,admin.,single,no,28,357,-1,0,unknown,no
330,37,admin.,married,no,22,22,-1,0,unknown,no
331,29,technician,single,no,16,215,321,3,other,no
332,34,admin.,married,no,31,56,-1,0,unknown,no
333,32,services,married,no,21,1017,-1,0,unknown,yes
334,30,management,single,no,16,298,-1,0,unknown,yes
335,47,management,divorced,yes,7,126,-1,0,unknown,no
336,33,blue-collar,married,no,20,9,-1,0,unknown,no
337,33,management,single,no,5,8,254,5,failure,no
338,63,retired,married,no,14,201,183,1,success,no
339,51,self-employed,divorced,no,6,106,-1,0,unknown,no
340,41,management,married,yes,21,164,176,1,failure,no
341,56,retired,married,no,5,97,-1,0,unknown,no
342,60,management,single,yes,23,151,-1,0,unknown,no
343,41,self-employed,single,no,30,96,-1,0,unknown,no
344,37,management,single,no,16,555,-1,0,unknown,no
345,36,blue-collar,single,yes,11,270,347,1,failure,no
346,57,management,married,no,29,339,-1,0,unknown,no
347,55,management,married,no,4,328,94,2,success,yes
348,44,admin.,married,yes,16,159,-1,0,unknown,no
349,47,self-employed,married,no,6,323,364,1,failure,no
350,31,blue-collar,married,no,20,342,-1,0,unknown,no
351,35,management,married,no,21,180,-1,0,unknown,no
352,39,management,married,yes,28,60,-1,0,unknown,no
353,50,management,married,no,17,223,96,2,failure,no
354,29,management,married,no,18,1434,356,4,failure,no
355,30,services,single,no,6,30,-1,0,unknown,no
356,46,services,married,no,16,134,-1,0,unknown,no
357,27,management,single,no,9,10,-1,0,unknown,no
358,48,admin.,divorced,no,2,397,-1,0,unknown,yes
359,26,student,single,no,5,620,-1,0,unknown,no
360,36,management,single,no,21,6,-1,0,unknown,no
361,42,blue-collar,married,yes,7,209,-1,0,unknown,no
362,50,housemaid,married,no,15,419,-1,0,unknown,no
363,49,blue-collar,married,no,18,283,-1,0,unknown,no
364,45,management,married,no,8,188,-1,0,unknown,no
365,23,student,single,no,16,267,-1,0,unknown,no
366,38,technician,single,no,7,196,-1,0,unknown,no
367,32,management,single,no,17,245,149,2,failure,no
368,60,technician,single,no,26,323,-1,0,unknown,yes
369,30,entrepreneur,married,no,19,1065,183,1,other,no
370,58,housemaid,married,no,11,138,-1,0,unknown,no
371,60,retired,married,no,4,207,-1,0,unknown,no
372,38,services,married,no,25,456,-1,0,unknown,no
373,51,technician,married,no,5,261,-1,0,unknown,no
374,42,admin.,married,no,11,80,308,4,failure,no
375,30,services,single,no,18,131,363,9,failure,no
376,40,management,married,no,6,94,-1,0,unknown,no
377,37,management,married,no,14,567,275,4,failure,yes
378,53,technician,divorced,no,30,153,-1,0,unknown,no
379,27,services,single,no,13,109,-1,0,unknown,no
380,39,blue-collar,married,no,30,53,325,1,failure,no
381,39,blue-collar,married,no,16,77,-1,0,unknown,no
382,59,retired,married,no,27,234,-1,0,unknown,yes
383,37,services,married,no,13,121,341,4,failure,no
384,41,blue-collar,married,no,15,155,-1,0,unknown,no
385,45,blue-collar,married,no,17,108,-1,0,unknown,no
386,48,management,married,no,17,159,-1,0,unknown,no
387,48,technician,married,no,26,208,-1,0,unknown,no
388,32,blue-collar,married,no,12,215,-1,0,unknown,no
389,35,services,married,no,6,597,-1,0,unknown,no
390,33,management,single,no,4,505,260,1,other,no
391,28,blue-collar,single,yes,3,380,-1,0,unknown,no
392,64,retired,married,no,12,120,-1,0,unknown,no
393,35,technician,married,no,27,106,-1,0,unknown,no
394,33,blue-collar,married,no,14,332,358,2,failure,no
395,41,technician,married,no,15,221,-1,0,unknown,no
396,34,admin.,married,no,4,80,-1,0,unknown,no
397,37,technician,single,no,4,60,87,1,success,no
398,38,blue-collar,married,yes,13,212,-1,0,unknown,no
399,39,blue-collar,married,no,14,493,-1,0,unknown,no
400,35,technician,divorced,no,19,98,-1,0,unknown,no
401,28,blue-collar,single,yes,8,681,-1,0,unknown,yes
402,27,blue-collar,single,no,22,203,-1,0,unknown,no
403,48,retired,married,yes,19,157,-1,0,unknown,no
404,50,blue-collar,married,no,16,287,-1,0,unknown,no
405,45,self-employed,married,no,7,159,-1,0,unknown,no
406,41,technician,married,no,14,125,-1,0,unknown,no
407,39,technician,married,no,8,202,-1,0,unknown,no
408,44,management,married,no,8,37,303,1,failure,no
409,54,admin.,married,no,28,161,98,2,failure,yes
410,49,management,married,no,6,72,-1,0,unknown,no
411,34,blue-collar,single,no,2,342,-1,0,unknown,no
412,75,retired,divorced,no,16,262,183,1,failure,yes
413,42,management,married,no,13,325,-1,0,unknown,no
414,53,blue-collar,married,no,19,223,-1,0,unknown,no
415,49,management,divorced,no,31,1212,-1,0,unknown,yes
416,31,services,single,no,29,319,-1,0,unknown,no
417,45,blue-collar,single,no,29,182,-1,0,unknown,no
418,39,self-employed,married,yes,17,330,-1,0,unknown,no
419,46,technician,married,yes,19,514,-1,0,unknown,no
420,42,admin.,divorced,no,14,213,-1,0,unknown,no
421,37,management,married,no,7,551,351,1,failure,no
422,26,technician,single,no,16,472,-1,0,unknown,no
423,37,management,single,no,15,140,327,2,failure,no
424,36,services,single,no,7,142,-1,0,unknown,no
425,29,blue-collar,single,no,4,135,-1,0,unknown,no
426,36,blue-collar,married,yes,23,293,-1,0,unknown,no
427,26,technician,married,no,13,107,-1,0,unknown,no
428,32,blue-collar,married,no,20,127,-1,0,unknown,no
429,40,management,married,no,20,1816,-1,0,unknown,no
430,53,management,married,no,4,200,-1,0,unknown,no
431,29,management,married,no,12,418,-1,0,unknown,no
432,34,technician,single,no,22,387,-1,0,unknown,no
433,43,blue-collar,married,no,5,156,337,3,failure,no
434,56,management,married,yes,21,121,-1,0,unknown,no
435,55,entrepreneur,divorced,no,6,108,-1,0,unknown,no
436,31,self-employed,married,no,7,47,-1,0,unknown,no
437,27,admin.,single,no,20,16,322,4,other,no
438,36,management,married,no,18,54,-1,0,unknown,no
439,44,management,married,no,6,265,-1,0,unknown,no
440,37,admin.,divorced,no,23,168,-1,0,unknown,no
441,30,admin.,single,no,7,115,-1,0,unknown,no
442,42,technician,single,no,26,31,-1,0,unknown,no
443,30,management,married,no,25,279,-1,0,unknown,yes
444,62,retired,married,no,1,28,-1,0,unknown,no
445,24,blue-collar,married,no,20,369,-1,0,unknown,no
446,31,technician,married,no,13,247,-1,0,unknown,no
447,66,retired,married,no,22,155,-1,0,unknown,no
448,47,admin.,married,no,10,89,-1,0,unknown,no
449,39,entrepreneur,married,no,17,180,-1,0,unknown,no
450,35,technician,married,no,18,854,-1,0,unknown,yes
451,35,admin.,divorced,no,17,46,-1,0,unknown,no
452,27,technician,married,yes,28,266,-1,0,unknown,no
453,32,blue-collar,married,no,5,321,-1,0,unknown,no
454,44,management,married,no,28,99,-1,0,unknown,no
455,42,blue-collar,married,no,9,147,-1,0,unknown,no
456,34,self-employed,single,no,30,430,-1,0,unknown,yes
457,25,services,single,yes,7,264,-1,0,unknown,no
458,40,technician,single,no,16,156,-1,0,unknown,no
459,43,management,divorced,no,26,118,102,2,failure,no
460,55,unemployed,married,no,6,343,-1,0,unknown,no
461,50,blue-collar,married,no,7,226,-1,0,unknown,no
462,45,management,divorced,no,1,5,-1,0,unknown,no
463,35,blue-collar,divorced,no,20,138,-1,0,unknown,no
464,32,blue-collar,married,no,10,185,99,5,success,yes
465,59,housemaid,married,no,3,722,99,4,failure,no
466,34,self-employed,married,no,21,748,-1,0,unknown,no
467,39,management,married,no,26,142,-1,0,unknown,no
468,40,management,single,no,17,523,-1,0,unknown,no
469,36,blue-collar,single,no,20,8,-1,0,unknown,no
470,40,management,married,no,17,153,-1,0,unknown,no
471,55,self-employed,married,no,20,210,-1,0,unknown,no
472,38,entrepreneur,married,no,10,121,-1,0,unknown,no
473,61,admin.,married,no,12,212,-1,0,unknown,yes
474,41,management,married,no,21,253,-1,0,unknown,no
475,57,blue-collar,married,no,13,139,-1,0,unknown,no
476,48,blue-collar,married,no,9,71,-1,0,unknown,no
477,77,retired,married,no,4,421,92,2,success,yes
478,35,services,married,no,28,199,-1,0,unknown,no
479,54,blue-collar,married,no,14,108,-1,0,unknown,no
480,37,management,single,no,20,247,-1,0,unknown,no
481,56,management,single,no,9,236,-1,0,unknown,no
482,40,technician,married,no,4,97,196,5,failure,no
483,40,management,married,no,14,109,-1,0,unknown,no
484,54,management,married,no,2,112,-1,0,unknown,no
485,55,housemaid,married,no,19,15,-1,0,unknown,no
486,55,services,divorced,no,22,502,-1,0,unknown,no
487,52,blue-collar,married,no,16,30,-1,0,unknown,no
488,55,blue-collar,single,no,2,193,-1,0,unknown,no
489,33,management,married,no,13,347,-1,0,unknown,no
490,52,blue-collar,married,no,15,468,-1,0,unknown,no
491,33,services,divorced,no,27,148,-1,0,unknown,no
492,53,admin.,married,no,16,295,91,2,success,yes
493,46,admin.,married,no,26,388,-1,0,unknown,yes
494,44,technician,single,no,12,1735,-1,0,unknown,yes
495,48,management,divorced,no,6,339,-1,0,unknown,no
496,50,housemaid,married,no,13,172,370,1,failure,no
497,34,technician,single,yes,19,117,-1,0,unknown,no
498,38,technician,single,yes,20,587,-1,0,unknown,no
499,42,management,single,no,19,501,-1,0,unknown,no
500,32,management,single,no,14,203,84,1,failure,no
501,58,admin.,married,yes,25,282,-1,0,unknown,no
502,31,management,married,no,28,110,-1,0,unknown,no
503,19,student,single,no,10,104,-1,0,unknown,yes
504,41,management,married,no,15,231,-1,0,unknown,no
505,31,unemployed,married,no,20,378,-1,0,unknown,no
506,52,self-employed,single,yes,15,193,-1,0,unknown,no
507,42,self-employed,divorced,no,24,110,-1,0,unknown,no
508,41,blue-collar,single,no,12,92,-1,0,unknown,no
509,30,blue-collar,single,no,23,1407,-1,0,unknown,yes
510,38,blue-collar,married,yes,6,168,212,2,failure,no
511,32,management,married,no,17,738,-1,0,unknown,no
512,52,technician,married,no,18,220,63,5,failure,yes
513,48,management,divorced,no,27,89,-1,0,unknown,no
514,36,management,married,no,31,30,-1,0,unknown,no
515,45,unemployed,divorced,no,20,103,325,4,failure,no
516,34,technician,married,yes,2,70,-1,0,unknown,no
517,36,blue-collar,married,no,20,904,-1,0,unknown,yes
518,34,management,married,no,14,159,367,2,other,no
519,61,retired,married,no,11,336,81,2,other,no
520,54,services,married,no,19,220,-1,0,unknown,no
521,50,entrepreneur,married,no,17,238,-1,0,unknown,no
